,Active,Name,AcresBurned,Latitude,Longitude,Location,Counties,Started,Extinguished,Started Month,Burn Length,Burn Length(h)
13,False,Grand Fire,4346.0,34.7861,-118.9411,"South of Frazier Mountain Park Rd, South of Frazier Park",Kern,2013-05-15 12:50:00+00:00,2013-05-21 19:45:00+00:00,5,6 days 06:55:00,150.91666666666666
15,False,McCabe Fire,3505.0,38.8167,-122.8498,"The Geysers area, 10 miles northeast of Geyserville",Sonoma,2013-11-22 02:04:00+00:00,2013-11-27 18:15:00+00:00,11,5 days 16:11:00,136.18333333333334
16,False,Summit Fire,3166.0,34.288877,-116.94131100000001,Mias Canyon and Bluff Road in Banning,Riverside,2013-05-01 12:38:00+00:00,2013-05-04 18:30:00+00:00,5,3 days 05:52:00,77.86666666666666
17,False,Morgan Fire,3111.0,37.90757,-121.88258200000001,"off Morgan Territory Road, Southeast of Clayton",Contra Costa,2013-09-08 13:08:00+00:00,2013-09-14 17:30:00+00:00,9,6 days 04:22:00,148.36666666666667
18,False,San Felipe Fire,2781.0,33.121109999999994,-116.52578999999999,"San Felipe Road, north of Highway 78, East of Julian",San Diego,2013-05-23 12:20:00+00:00,2013-05-26 17:45:00+00:00,5,3 days 05:25:00,77.41666666666667
19,False,Swedes Fire,2462.0,39.446267999999996,-121.38236,southeast of Oroville,Butte,2013-08-16 16:37:00+00:00,2013-08-22 18:00:00+00:00,8,6 days 01:23:00,145.38333333333333
20,False,DeLuz Fire,2236.0,33.341,-117.3092,"On Camp Pendleton, west of Fallbrook",San Diego,2013-10-05 12:45:00+00:00,2013-10-09 19:00:00+00:00,10,4 days 06:15:00,102.25
21,False,Fish Fire,2060.0,36.208,-118.444,Golden Trout Wilderness on the Sequoia National Forest.,Tulare,2013-08-24 14:31:00+00:00,2013-09-24 20:15:00+00:00,8,31 days 05:44:00,749.7333333333333
22,False,White Fire,1984.0,34.55048,-119.82428999999999,"Southeast of Lake Cachuma, approx. 12 miles southeast of Santa Ynez",Santa Barbara,2013-05-27 14:45:00+00:00,2013-05-30 19:30:00+00:00,5,3 days 04:45:00,76.75
23,False,Carstens Fire,1708.0,37.58202,-119.91071000000001,"Off Carstens Road, east of 140 in the Midpines area.",Mariposa,2013-06-16 14:12:00+00:00,2013-06-26 11:15:00+00:00,6,9 days 21:03:00,237.05
24,False,Falls Fire,1383.0,33.62236,-117.40288000000001,"Ortega Highway, west of Lake Elsinoire",Riverside,2013-08-05 10:10:00+00:00,2013-08-09 18:45:00+00:00,8,4 days 08:35:00,104.58333333333333
25,False,General Fire,1271.0,33.044579999999996,-116.5209,"Banner Grade area, south of Hwy 78 & east of Hwy 79, southeast of Julian",San Diego,2013-05-26 12:04:00+00:00,2013-05-31 06:15:00+00:00,5,4 days 18:11:00,114.18333333333334
26,False,Power Fire,1070.0,38.25108,-120.02778,"Near Beardsley Lake, northeast of Sonora",Tuolumne,2013-08-05 06:00:00+00:00,2013-08-14 08:30:00+00:00,8,9 days 02:30:00,218.5
27,False,Pfeiffer Fire,917.0,0.0,0.0,Pfeiffer Ridge Road and Highway 1 near Big Sur,Monterey,2013-12-16 00:20:00+00:00,2013-12-20 20:00:00+00:00,12,4 days 19:40:00,115.66666666666667
28,False,Shirley Fire,794.0,35.707,-118.588,Lower Kern River Canyon area off Highway 178,Kern,2013-08-18 23:12:00+00:00,2013-08-24 13:45:00+00:00,8,5 days 14:33:00,134.55
29,False,Rancho Fire,712.0,34.882,-118.9194,West side of Interstate 5 in Lebec (Kern County),Kern,2013-07-19 12:00:00+00:00,2013-07-22 18:45:00+00:00,7,3 days 06:45:00,78.75
30,False,Lake Fire,712.0,34.49149,-118.61004399999999,I-5 Southbound at Lake Hughes Road,Los Angeles,2013-05-17 13:23:00+00:00,2013-05-18 19:00:00+00:00,5,1 days 05:37:00,29.616666666666667
31,False,Water Fire,612.0,34.90327,-118.93388,West side of Interstate 5 at Tejon Ranch,Kern,2013-07-23 09:15:00+00:00,2013-07-25 18:30:00+00:00,7,2 days 09:15:00,57.25
32,False,Kyburz Fire,572.0,38.774,-120.29799999999999,"Off Hwy 50 at 30 Mile Tract, Kyburz",El Dorado,2013-07-08 12:45:00+00:00,2013-07-11 18:30:00+00:00,7,3 days 05:45:00,77.75
33,False,Mills Fire,534.0,34.071556,-117.048397,"south of Highway 38 & Bryant Street, northwest of Yucaipa ",San Bernardino,2013-06-28 14:30:00+00:00,2013-07-01 06:00:00+00:00,6,2 days 15:30:00,63.5
34,False,Plumas Lightning Complex (Hough),513.0,40.00842,-120.76466599999999,Keddie Ridge/North Arm areas of Indian Valley near Taylorsville,Plumas,2013-08-18 18:30:00+00:00,2013-08-25 13:15:00+00:00,8,6 days 18:45:00,162.75
35,False,Gorgonio Fire,510.0,33.894055,-116.855019,"Highway 243, south of Banning and north of Pine Cove",Riverside,2013-05-04 11:43:00+00:00,2013-05-05 18:45:00+00:00,5,1 days 07:02:00,31.033333333333335
36,False,Fox Fire (formally 3-7 Fire),502.0,41.2415,-121.035,5 miles northwest of Aiden,Modoc,2013-07-03 22:56:00+00:00,2013-07-05 18:30:00+00:00,7,1 days 19:34:00,43.56666666666667
37,False,Branch Fire,500.0,35.15832,-120.05131000000002,"west of the Carrizo Plain, Los Padres National Forest",San Luis Obispo,2013-06-01 17:27:00+00:00,2013-06-03 18:30:00+00:00,6,2 days 01:03:00,49.05
38,False,Kirker Fire,492.0,37.96866,-121.91453,Kirker Pass Road south of Pittsburg,Contra Costa,2013-07-01 13:19:00+00:00,2013-07-01 18:40:00+00:00,7,0 days 05:21:00,5.35
39,False,Rolling Fire,482.0,37.015575,-119.78106000000001,"off Hwy 41 & Road 145, northwest of Friant ",Madera,2013-06-16 18:17:00+00:00,2013-06-18 19:30:00+00:00,6,2 days 01:13:00,49.21666666666667
41,False,River Fire,406.0,36.602575,-118.01651000000001,"south of Narrow Gauge Rd & north of Hwy 136, east of Lone Pine",Inyo,2013-02-24 08:16:00+00:00,2013-02-28 20:00:00+00:00,2,4 days 11:44:00,107.73333333333333
42,False,Putah Fire,376.0,38.628,-122.289,off Berryessa Knoxville Rd near Lake Berryessa,Napa,2013-10-03 20:33:00+00:00,2013-10-04 16:55:00+00:00,10,0 days 20:22:00,20.366666666666667
43,False,Tres Pinos Fire,354.0,37.160346000000004,-120.937494,"Highway 25 and Horizon Rd, Community of Tres ",San Benito,2013-05-03 11:42:00+00:00,2013-05-03 18:45:00+00:00,5,0 days 07:03:00,7.05
44,False,Jurupa Fire,311.0,0.0,0.0,"Rio Rancho Rd & Calle Hermosa, Jurupa Valley",Riverside,2013-02-28 16:43:00+00:00,2013-03-02 19:00:00+00:00,2,2 days 02:17:00,50.28333333333333
46,False,Shelton Fire,303.0,38.049929999999996,-120.90325,off North Shelton Rd in the Linden Peters area,San Joaquin,2013-05-30 11:20:00+00:00,2013-05-30 13:25:00+00:00,5,0 days 02:05:00,2.0833333333333335
47,False,Lone Fire,298.0,39.434183000000004,-121.57680400000001,Palermo Road and Lone Tree Road near Palermo,Butte,2013-06-03 13:49:00+00:00,2013-06-03 20:00:00+00:00,6,0 days 06:11:00,6.183333333333334
48,False,Becks Fire,296.0,0.0,0.0,"North of Highway 29, southeast of Kelseyville",Lake,2013-01-22 11:08:00+00:00,2013-01-23 10:15:00+00:00,1,0 days 23:07:00,23.116666666666667
49,False,Concord Fire,274.0,39.90465,-121.74367,off Concord Ave & Vineyard Parkway in Brentwood,Contra Costa,2013-07-01 15:41:00+00:00,2013-07-01 18:30:00+00:00,7,0 days 02:49:00,2.816666666666667
50,False,Gold Fire,274.0,37.116295,-119.63500400000001,Between Road 210 and Road 200 near Fine Gold Creek in the community of O,Madera,2013-04-30 12:59:00+00:00,2013-05-01 07:00:00+00:00,4,0 days 18:01:00,18.016666666666666
51,False,Madre Fire,268.0,34.149,-117.90799999999999,San Gabriel Canyon 1/4 mile west of the entrance station,Los Angeles,2013-09-23 18:00:00+00:00,2013-09-28 08:00:00+00:00,9,4 days 14:00:00,110.0
52,False,Lyon Fire,263.0,32.710918,-116.746023,"Four Corners, Lyons Valley Road, east of Lyons Peak",San Diego,2013-09-09 13:09:00+00:00,2013-09-12 18:15:00+00:00,9,3 days 05:06:00,77.1
53,False,Sharp Fire,243.0,34.35,-117.62,Sheep canyon just south of Wrightwood,San Bernardino,2013-08-08 12:15:00+00:00,2013-08-13 23:45:00+00:00,8,5 days 11:30:00,131.5
54,False,Vasco Fire,240.0,37.775057000000004,-121.73721299999998,"off Vasco Road & North Vasco Road, north of Livermore",Alameda,2013-06-08 10:16:00+00:00,2013-06-08 13:25:00+00:00,6,0 days 03:09:00,3.15
55,False,PFE Fire,237.0,38.729296999999995,-121.38086200000001,"PFE Road and Watt Avenue, West Roseville",Placer,2013-06-13 11:28:00+00:00,2013-06-13 14:15:00+00:00,6,0 days 02:47:00,2.783333333333333
56,False,Daves Fire,226.0,0.0,0.0,15 miles northwest of Elk Creek off County Road 306,Glenn,2013-06-12 15:17:00+00:00,2013-06-17 09:00:00+00:00,6,4 days 17:43:00,113.71666666666667
57,False,306 Fire,217.0,39.514139,-122.56086200000001,2 miles south of the community of Elk Creek,Glenn,2013-05-01 19:00:00+00:00,2013-05-05 18:00:00+00:00,5,3 days 23:00:00,95.0
58,False,Tassajara Fire,213.0,0.0,0.0,"Tassajara Hot Springs, near the Zen Center",Monterey,2013-07-17 13:23:00+00:00,2013-07-17 19:30:00+00:00,7,0 days 06:07:00,6.116666666666666
59,False,Sierra Fire,200.0,34.2,-117.417,in the Cajon Pass west of I-15 near Glen Helen Road,San Bernardino,2013-09-24 15:51:00+00:00,2013-09-30 08:30:00+00:00,9,5 days 16:39:00,136.65
60,False,Vina Fire,200.0,40.012398,-122.079871,"Tehama-Vina Rd and Sherman Rd, Los Molinos",Tehama,2013-07-04 07:30:00+00:00,2013-07-04 10:30:00+00:00,7,0 days 03:00:00,3.0
61,False,Burney Lightning Series (Warner Fire),196.0,40.5445,-121.3754,Fall River Mills and McAruther area,Shasta,2013-08-19 17:48:00+00:00,2013-08-23 19:15:00+00:00,8,4 days 01:27:00,97.45
62,False,Paskenta Fire,195.0,39.961309,-122.33087900000001,West of Corning,Tehama,2013-07-19 13:32:00+00:00,2013-07-19 15:00:00+00:00,7,0 days 01:28:00,1.4666666666666666
63,False,Silverado Fire,190.0,38.382,-122.311,Off Silverado Trail in the Soda Canyon area near Napa,Napa,2013-11-21 21:39:00+00:00,2013-11-23 18:30:00+00:00,11,1 days 20:51:00,44.85
64,False,Olive Fire,170.0,34.611824,-120.074655,"Hwy 246 and Meadowvale, East of Solvang ",Santa Barbara,2013-05-28 15:24:00+00:00,2013-05-29 10:30:00+00:00,5,0 days 19:06:00,19.1
65,False,Capay Fire,163.0,38.67479,-122.08725,"Off County Road 23 & County Road 81, Southwest of Esparto",Yolo,2013-11-04 11:41:00+00:00,2013-11-04 15:35:00+00:00,11,0 days 03:54:00,3.9
66,False,50 Fire,163.0,38.63987,-121.08438000000001,South of Hwy 50 at the El Dorado and Sacramento County line,El Dorado,2013-07-19 14:12:00+00:00,2013-07-19 17:15:00+00:00,7,0 days 03:03:00,3.05
68,False,Crane Fire,159.0,38.34599,-122.6503,"near Crane Creek Regional Park off Pressley Rd, east of Rohnert Park ",Sonoma,2013-10-04 12:25:00+00:00,2013-10-05 07:45:00+00:00,10,0 days 19:20:00,19.333333333333332
69,False,Lakeville Fire,158.0,38.17693,-122.51253,"Off Lakeville Hwy, 6 miles SE of Petaluma",Sonoma,2013-07-26 13:45:00+00:00,2013-07-26 17:45:00+00:00,7,0 days 04:00:00,4.0
70,False,Highland Fire,150.0,0.0,0.0,"Highland Road, Livermore",Alameda,2013-10-04 07:35:00+00:00,2013-10-04 10:30:00+00:00,10,0 days 02:55:00,2.9166666666666665
71,False,Redlands Fire,150.0,33.990128000000006,-117.164997,"Redlands Boulevard and San Timoteo Canyon Road, north of Moreno Valley",Riverside,2013-07-16 17:48:00+00:00,2013-07-17 07:45:00+00:00,7,0 days 13:57:00,13.95
72,False,Diablo Fire,150.0,37.436,-121.1955,"off Diablo Grande Parkway, west of I-5, southwest of Patterson",Stanislaus,2013-07-12 15:35:00+00:00,2013-07-13 21:45:00+00:00,7,1 days 06:10:00,30.166666666666668
73,False,George Fire,150.0,36.7218,-119.2248,off Bronco Lane in Squaw Valley,Fresno,2013-06-25 13:36:00+00:00,2013-06-25 17:15:00+00:00,6,0 days 03:39:00,3.65
74,False,Neal Fire,150.0,0.0,0.0,"Neal Road, southwest of Paradise",Butte,2013-05-22 00:56:00+00:00,2013-05-22 09:30:00+00:00,5,0 days 08:34:00,8.566666666666666
75,False,Magic Fire,149.0,34.419284000000005,-118.58688000000001,off Magic Mtn Parkway in Valencia,Los Angeles,2013-05-28 11:30:00+00:00,2013-05-29 15:30:00+00:00,5,1 days 04:00:00,28.0
76,False,Angora Fire,134.0,36.258,-118.459,Golden Trout Wilderness,Tulare,2013-09-08 11:53:00+00:00,2013-09-24 20:15:00+00:00,9,16 days 08:22:00,392.3666666666667
77,False,Yellow Fire,125.0,38.638828000000004,-122.655616,"Hwy 128 & Yellow Jacket Ranch Rd in Knights Valley, northwest of Calistoga",Sonoma,2013-05-01 02:01:00+00:00,2013-05-03 06:15:00+00:00,5,2 days 04:14:00,52.233333333333334
78,False,California Fire,124.0,38.08744,-122.13802,"Off Lake Herman Rd, west of Hwy 680 in Benicia",Solano,2013-06-18 15:18:00+00:00,2013-06-18 22:30:00+00:00,6,0 days 07:12:00,7.2
79,False,152 Fire,124.0,37.03776,-121.00693899999999,Hwy 152 in San Luis Creek Reservoir,Merced,2013-06-04 15:42:00+00:00,2013-06-05 08:30:00+00:00,6,0 days 16:48:00,16.8
80,False,Smiley Fire,124.0,33.963591,-117.18793400000001,"Off Smiley Blvd & Vista Suelto Rd, north of Moreno Valley",Riverside,2013-05-25 14:59:00+00:00,2013-05-25 23:00:00+00:00,5,0 days 08:01:00,8.016666666666667
81,False,Cantwell Fire,120.0,38.882214000000005,-122.567525,"South of Morgan Valley Rd and East of Hwy 29, Community of Lower Lake",Lake,2013-11-08 13:42:00+00:00,2013-11-10 18:30:00+00:00,11,2 days 04:48:00,52.8
82,False,Union Fire,116.0,38.682378,-120.839075,"off Koki Ln and Pleasant Valley Rd, northwest of Diamond Springs",El Dorado,2013-08-16 13:55:00+00:00,2013-08-16 17:55:00+00:00,8,0 days 04:00:00,4.0
83,False,Cleghorn Fire,110.0,34.287,-117.45100000000001,I-15 Cajon Pass south of Cleghorn Road,San Bernardino,2013-08-17 17:25:00+00:00,2013-08-18 20:55:00+00:00,8,1 days 03:30:00,27.5
84,False,Clinton Fire,108.0,36.772425,-119.62838899999998,"Clinton and Highland, East of Fresno",Fresno,2013-06-13 11:54:00+00:00,2013-06-13 21:30:00+00:00,6,0 days 09:36:00,9.6
85,False,Freeman Fire,105.0,36.1531,-120.8973,"off Hwy 198, 10 miles east of King City",Monterey,2013-06-29 14:09:00+00:00,2013-06-29 18:30:00+00:00,6,0 days 04:21:00,4.35
86,False,Bee Fire,100.0,0.0,0.0,San Francisquito Canyon Rd & Stator Ln,Los Angeles,2013-08-09 17:15:00+00:00,2013-08-11 19:15:00+00:00,8,2 days 02:00:00,50.0
87,False,Murphy Fire,100.0,37.91529,-120.33313000000001,off Lime Kiln Rd,Tuolumne,2013-06-02 13:30:00+00:00,2013-06-02 16:55:00+00:00,6,0 days 03:25:00,3.4166666666666665
88,False,Border Fire,100.0,32.564465000000006,-116.900368,Off Alta Rd in the Otay Mesa area,San Diego,2013-05-22 16:14:00+00:00,2013-05-23 08:30:00+00:00,5,0 days 16:16:00,16.266666666666666
90,False,Davis Creek Complex,97.0,41.73325,-120.375,"Both sides of Davis Creek near Hwy 395, south of Goose Lake ",Modoc,2013-09-05 15:57:00+00:00,2013-09-24 20:15:00+00:00,9,19 days 04:18:00,460.3
91,False,Little Fire,97.0,33.641999999999996,-116.706,near Thomas Mountain south of Lake Hemet on the San Jacinto Ranger District.,San Bernardino,2013-08-24 15:09:00+00:00,2013-08-30 08:00:00+00:00,8,5 days 16:51:00,136.85
92,False,Coyote Fire,97.0,40.88886,-120.95812600000001,"Southeast of Coyote Reservoir, 20 miles southeast of Bieber",Lassen,2013-08-09 15:51:00+00:00,2013-08-12 09:30:00+00:00,8,2 days 17:39:00,65.65
93,False,Roadrunner Fire,96.0,38.27783,-120.966016,"Roadrunner Drive, south of Ione",Amador,2013-06-12 16:43:00+00:00,2013-06-13 09:45:00+00:00,6,0 days 17:02:00,17.033333333333335
94,False,Creek Fire,94.0,35.4393,-120.8358,"off Toro Creek Rd, east of Cayucos",San Luis Obispo,2013-09-24 03:20:00+00:00,2013-09-24 17:30:00+00:00,9,0 days 14:10:00,14.166666666666666
96,False,Lilly 2 Fire,91.0,37.1927,-119.7917,Off Road 400 & Sandy Beach Dr. in Yosemite Lakes,Madera,2013-05-19 15:07:00+00:00,2013-05-20 19:10:00+00:00,5,1 days 04:03:00,28.05
98,False,Adelaida Fire,85.0,35.62743,-120.83417,"off Adelaida Rd & Vineyard Dr, west of Paso Robles",San Luis Obispo,2013-07-07 13:16:00+00:00,2013-07-07 22:00:00+00:00,7,0 days 08:44:00,8.733333333333333
99,False,Retek Fire,82.0,39.0442,-123.1478,"Off Hwy 101 at Henry Station Rd, north of Hopland",Mendocino,2013-11-22 10:06:00+00:00,2013-11-22 17:30:00+00:00,11,0 days 07:24:00,7.4
100,False,Centerville Fire,80.0,39.731878,-121.71393799999998,"Off Centerville Rd in the Butte Creek Canyon in the community of Centerville, west of Magalia ",Butte,2013-08-31 17:23:00+00:00,2013-09-01 18:00:00+00:00,8,1 days 00:37:00,24.616666666666667
101,False,Butte Fire,80.0,0.0,0.0,Butte Ave near Conejo Ave near the community of Helm.,Fresno,2013-04-09 12:35:00+00:00,2013-04-09 15:30:00+00:00,4,0 days 02:55:00,2.9166666666666665
102,False,Tehama Fire,75.0,0.0,0.0,East of Molinos,Tehama,2013-09-15 17:39:00+00:00,2013-09-15 19:00:00+00:00,9,0 days 01:21:00,1.35
103,False,Silverwood Fire,75.0,34.316,-117.352, Hwy 138 west of Hwy 173,San Bernardino,2013-07-25 15:09:00+00:00,2013-07-26 18:15:00+00:00,7,1 days 03:06:00,27.1
104,False,Revis Fire,75.0,37.169379,-119.75636000000002,Off Revis Road & Yosemite Springs Parkway in Yosemite Lake Parks area in Coarsegold,Madera,2013-06-12 16:40:00+00:00,2013-06-14 16:30:00+00:00,6,1 days 23:50:00,47.833333333333336
105,False,Lytle Fire,75.0,34.1834,-117.4408,"I-15 at Sierra Ave, near Lytle Creek",San Bernardino,2013-05-13 13:30:00+00:00,2013-05-15 08:15:00+00:00,5,1 days 18:45:00,42.75
107,False,Liveoak Fire,73.0,34.003151,-117.106075,"Live Oak Canyon Rd, South of I-10 near cities of Redlands and Yucaipa. ",San Bernardino,2013-09-11 16:57:00+00:00,2013-09-12 08:45:00+00:00,9,0 days 15:48:00,15.8
108,False,McGanney Fire,73.0,39.205999999999996,-121.31634,"off Highway 20 and McGanney Lane, west of Smartsville",Yuba,2013-07-08 09:59:00+00:00,2013-07-08 17:30:00+00:00,7,0 days 07:31:00,7.516666666666667
109,False,Cedar Fire,72.0,0.0,0.0,"Off Cedar Creek Loop Rd, South of Butte Meadows",Butte,2013-05-01 04:16:00+00:00,2013-05-04 19:00:00+00:00,5,3 days 14:44:00,86.73333333333333
110,False,Double Fire,70.0,39.013682,-122.49189399999999,"Hwy 20 and Mule Skinner Rd., Clear Lake Oaks",Lake,2013-08-16 17:57:00+00:00,2013-08-18 18:30:00+00:00,8,2 days 00:33:00,48.55
112,False,Wheeler Fire,64.0,34.384,-119.13248999999999,"Wheeler Canyon, north of Santa Paula",Ventura,2013-11-14 11:05:00+00:00,2013-11-15 16:00:00+00:00,11,1 days 04:55:00,28.916666666666668
113,False,Tram Fire,60.0,38.838,-116.61,Off of Hwy 111 & Tramway Rd in Palm Springs,Riverside,2013-08-06 13:39:00+00:00,2013-08-08 09:00:00+00:00,8,1 days 19:21:00,43.35
114,False,Relay Fire,60.0,33.910270000000004,-116.99895,"near Mt. David, south of Beaumont",Riverside,2013-08-04 16:29:00+00:00,2013-08-04 18:00:00+00:00,8,0 days 01:31:00,1.5166666666666666
115,False,Tyler Fire,52.0,39.333401,-121.107022,"North San Juan Area, Highway 49 and Tyler Foote Road",Nevada,2013-08-31 14:42:00+00:00,2013-08-31 21:30:00+00:00,8,0 days 06:48:00,6.8
116,False,Toro Fire,51.0,35.457978000000004,-120.75155500000001,"Toro Creek Rd. and Hwy 41 West, Morro Bay",San Luis Obispo,2013-11-08 10:30:00+00:00,2013-11-09 17:00:00+00:00,11,1 days 06:30:00,30.5
117,False,Bruner Fire,50.0,39.0448,-122.7656,"Off Bruner Drive & Al Drive, Clearlake Oaks",Lake,2013-11-23 12:04:00+00:00,2013-11-24 08:45:00+00:00,11,0 days 20:41:00,20.683333333333334
118,False,Cottonwood Fire,50.0,41.923322999999996,-122.57839299999999,"Cottonwood Creek Rd., 2 miles north of Hornbrook",Siskiyou,2013-08-15 14:40:00+00:00,2013-08-15 17:00:00+00:00,8,0 days 02:20:00,2.3333333333333335
119,False,Uvas Fire,50.0,37.1438,-121.7804,"Uvas Road and Casa Loma Road, near Calero County Park,  west of Morgan Hill",Santa Clara,2013-07-12 13:09:00+00:00,2013-07-12 17:45:00+00:00,7,0 days 04:36:00,4.6
120,False,Grant Fire,50.0,37.7393,-121.5869,"off Grant Ln Rd & I-580 in the Altamont Pass, 5 miles west of Tracy",Alameda,2013-07-04 10:00:00+00:00,2013-07-04 11:30:00+00:00,7,0 days 01:30:00,1.5
121,False,Homestead Fire,50.0,35.5123,-120.6368,"Homestead Rd & Hwy 41, northeast of Atascadero ",San Luis Obispo,2013-05-25 17:35:00+00:00,2013-05-25 18:45:00+00:00,5,0 days 01:10:00,1.1666666666666667
122,False,Bridges Fire,46.0,38.06231,-120.45233,"Parrott's Ferry Road north of the bridge, near Vallecito & New Melones Lake ",Calaveras,2013-08-17 10:11:00+00:00,2013-08-19 07:10:00+00:00,8,1 days 20:59:00,44.983333333333334
124,False,Pratt Fire,45.0,38.980846,-123.06767099999999,"Hwy 175 & Pratt Ranch Road, East of Hopland ",Mendocino,2013-07-23 13:29:00+00:00,2013-07-23 16:00:00+00:00,7,0 days 02:31:00,2.5166666666666666
125,False,Happy Camp Fire,44.0,0.0,0.0, off Happy Camp Canyon Rd near Moorpark,Ventura,2013-12-10 02:26:00+00:00,2013-12-11 17:30:00+00:00,12,1 days 15:04:00,39.06666666666667
126,False,Fiddler Fire,43.0,40.373000000000005,-122.7338,off Fiddler,Shasta,2013-07-09 11:59:00+00:00,2013-07-09 15:00:00+00:00,7,0 days 03:01:00,3.0166666666666666
127,False,Viper Fire,42.0,33.969359999999995,-117.1265,"off San Timoteo Canyon Rd and Viper Rd, north of Moreno Valley",Riverside,2013-06-08 15:37:00+00:00,2013-06-08 19:00:00+00:00,6,0 days 03:23:00,3.3833333333333333
128,False,Chestnut Fire,41.0,37.667295,-122.42728500000001,"Chestnut Ave and Hillside Blvd, San Bruno Mountain, South San Francisco",San Mateo,2013-09-07 13:55:00+00:00,2013-09-07 20:00:00+00:00,9,0 days 06:05:00,6.083333333333333
130,False,Baker Fire,40.0,33.7655,-117.6649,"Off Baker Canyon Rd, Silverado Canyon area, east of Irvine",Orange,2013-10-06 10:52:00+00:00,2013-10-09 08:00:00+00:00,10,2 days 21:08:00,69.13333333333334
131,False,Valley Fire,40.0,0.0,0.0,off I-8 & Los Coches Rd near Lakeside,San Diego,2013-09-26 17:29:00+00:00,2013-09-28 09:15:00+00:00,9,1 days 15:46:00,39.766666666666666
132,False,Pierce Fire,40.0,33.570291,-116.10815,Ave 66 and Pierce Street  ,Riverside,2013-08-16 13:31:00+00:00,2013-08-16 21:00:00+00:00,8,0 days 07:29:00,7.483333333333333
133,False,Trout Fire,40.0,0.0,0.0,"Siskiyou Wildlife Refuge, 5 miles SE of Montague",Siskiyou,2013-07-31 15:25:00+00:00,2013-07-31 19:25:00+00:00,7,0 days 04:00:00,4.0
134,False,Heacock Fire,40.0,33.9634,-117.2508,Heacock St & Sandy Glade Ave in Moreno Valley,Riverside,2013-07-19 16:21:00+00:00,2013-07-20 19:30:00+00:00,7,1 days 03:09:00,27.15
135,False,Palmyrita Fire,40.0,34.001745,-117.302057,"Highgrove Pass Rd and Pigeon Pass Rd, Community of Highgrove",Riverside,2013-06-14 13:47:00+00:00,2013-06-15 08:00:00+00:00,6,0 days 18:13:00,18.216666666666665
136,False,54 Fire,40.0,33.655638,-116.161201,"Avenue 54 and Tyler Street, near the community of Coachella",Riverside,2013-05-16 13:48:00+00:00,2013-05-17 08:30:00+00:00,5,0 days 18:42:00,18.7
